"Date";"Close Price";"Signal"
"2017-10-18";3747.8;"Hold"
"2017-10-19";3738.15;"Hold"
"2017-10-23";3790.4;"Hold"
"2017-10-24";3760.05;"Hold"
"2017-10-25";3769.3;"Hold"
"2017-10-26";3762.35;"Hold"
"2017-10-27";3797.05;"Hold"
"2017-10-30";3830.8;"Hold"
"2017-10-31";3854.75;"Hold"
"2017-11-01";3816.45;"Hold"
"2017-11-02";3733.05;"Hold"
"2017-11-03";3690.8;"Hold"
"2017-11-06";3691.4;"Hold"
"2017-11-07";3681.7;"Hold"
"2017-11-08";3632.0;"Hold"
"2017-11-09";3603.95;"Hold"
"2017-11-10";3606.4;"Hold"
"2017-11-13";3583.5;"Hold"
"2017-11-14";3653.65;"Hold"
"2017-11-15";3675.5;"Hold"
"2017-11-16";3661.6;"Hold"
"2017-11-17";3634.6;"Hold"
"2017-11-20";3658.5;"Hold"
"2017-11-21";3680.5;"Hold"
"2017-11-22";3661.85;"Hold"
"2017-11-23";3679.1;"Hold"
"2017-11-24";3654.65;"Hold"
"2017-11-27";3654.7;"Hold"
"2017-11-28";3673.85;"Hold"
"2017-11-29";3656.85;"Hold"
"2017-11-30";3642.3;"Hold"
"2017-12-01";3606.95;"Hold"
"2017-12-04";3605.6;"Hold"
"2017-12-05";3522.15;"Hold"
"2017-12-06";3500.35;"Hold"
"2017-12-07";3555.4;"Hold"
"2017-12-08";3513.05;"Hold"
"2017-12-11";3514.55;"Hold"
"2017-12-12";3444.95;"Hold"
"2017-12-13";3421.85;"Hold"
